Campaign ID,Campaign Name,Adgroup ID,Adgroup Name,Start Date,End Date,Current Bid,Bid,Clicks,Costs,Impressions
342790274,SEM Ecommerce Agency,25062313274,MBM - eCommerce Digital Agency,20160207,20160213,13.00,2.58,0,0.00,17
342790274,SEM Ecommerce Agency,25062313274,MBM - eCommerce Digital Agency,20160207,20160213,13.00,12.40,0,0.00,22
342790274,SEM Ecommerce Agency,25062313274,MBM - eCommerce Digital Agency,20160207,20160213,13.00,13.00,0,0.00,34
326407994,SEM Agency Terms - General,23284728074,Generic MBM - Agency,20160207,20160213,11.50,6.25,1,3.26,67
326407994,SEM Agency Terms - General,23284728074,Generic MBM - Agency,20160207,20160213,11.50,8.77,1,3.58,80
326407994,SEM Agency Terms - General,23284728074,Generic MBM - Agency,20160207,20160213,11.50,10.50,1,10.90,92
326407994,SEM Agency Terms - General,23284728074,Generic MBM - Agency,20160207,20160213,11.50,11.40,4,40.30,100
326407994,SEM Agency Terms - General,23284728074,Generic MBM - Agency,20160207,20160213,11.50,11.50,4,43.30,133
326407994,SEM Agency Terms - General,23284728074,Generic MBM - Agency,20160207,20160213,11.50,20.60,4,60.40,138
326407994,SEM Agency Terms - General,23511804794,Generic PM - PLAs,20160207,20160213,13.00,8.00,10,62.40,3250
326407994,SEM Agency Terms - General,23511804794,Generic PM - PLAs,20160207,20160213,13.00,11.40,11,81.70,3940
326407994,SEM Agency Terms - General,23511804794,Generic PM - PLAs,20160207,20160213,13.00,15.00,48,616.00,5440
326407994,SEM Agency Terms - General,23511804794,Generic PM - PLAs,20160207,20160213,13.00,20.10,52,738.00,6810
326407994,SEM Agency Terms - General,23511804794,Generic PM - PLAs,20160207,20160213,13.00,24.80,59,867.00,8310
326407994,SEM Agency Terms - General,23511804794,Generic PM - PLAs,20160207,20160213,13.00,28.50,60,923.00,9870
326407994,SEM Agency Terms - General,23511804794,Generic PM - PLAs,20160207,20160213,13.00,34.80,63,1,080.00,11500
326407994,SEM Agency Terms - General,23511804794,Generic PM - PLAs,20160207,20160213,13.00,11.70,2,19.50,574
326407994,SEM Agency Terms - General,23511804794,Generic PM - PLAs,20160207,20160213,13.00,12.40,2,21.80,629
326407994,SEM Agency Terms - General,23511804794,Generic PM - PLAs,20160207,20160213,13.00,12.90,3,33.90,671
326407994,SEM Agency Terms - General,23511804794,Generic PM - PLAs,20160207,20160213,13.00,13.00,5,62.60,1140
326407994,SEM Agency Terms - General,23511804794,Generic PM - PLAs,20160207,20160213,13.00,14.70,5,70.70,1180
326407994,SEM Agency Terms - General,23511804794,Generic PM - PLAs,20160207,20160213,13.00,17.30,10,149.00,1220
326407994,SEM Agency Terms - General,23511804794,Generic PM - PLAs,20160207,20160213,13.00,22.10,10,159.00,1260
326407994,SEM Agency Terms - General,24122927834,MBM - Keywords Google Shopping,20160207,20160213,11.50,8.57,0,0.00,26
326407994,SEM Agency Terms - General,24122927834,MBM - Keywords Google Shopping,20160207,20160213,11.50,9.98,0,0.00,32
326407994,SEM Agency Terms - General,24122927834,MBM - Keywords Google Shopping,20160207,20160213,11.50,11.30,0,0.00,40
326407994,SEM Agency Terms - General,24122927834,MBM - Keywords Google Shopping,20160207,20160213,11.50,11.50,0,0.00,52
342790274,SEM Ecommerce Agency,25062313274,MBM - eCommerce Digital Agency,20160207,20160213,13.00,2.58,0,0.00,17
342790274,SEM Ecommerce Agency,25062313274,MBM - eCommerce Digital Agency,20160207,20160213,13.00,12.40,0,0.00,22
342790274,SEM Ecommerce Agency,25062313274,MBM - eCommerce Digital Agency,20160207,20160213,13.00,13.00,0,0.00,34
342790274,SEM Ecommerce Agency,25062313154,EM - eCommerce Digital Agency,20160203,20160209,13.00,0.97,0,0.00,14
342790274,SEM Ecommerce Agency,25062313154,EM - eCommerce Digital Agency,20160203,20160209,13.00,2.97,0,0.00,21
342790274,SEM Ecommerce Agency,25062313154,EM - eCommerce Digital Agency,20160203,20160209,13.00,13.00,0,0.00,27
326407994,SEM Agency Terms - General,24122927834,MBM - Keywords Google Shopping,20160207,20160213,11.50,8.57,0,0.00,26
326407994,SEM Agency Terms - General,24122927834,MBM - Keywords Google Shopping,20160207,20160213,11.50,9.98,0,0.00,32
326407994,SEM Agency Terms - General,24122927834,MBM - Keywords Google Shopping,20160207,20160213,11.50,11.30,0,0.00,40
326407994,SEM Agency Terms - General,24122927834,MBM - Keywords Google Shopping,20160207,20160213,11.50,11.50,0,0.00,52
326407994,SEM Agency Terms - General,23265673994,Generic PM - Agency,20160207,20160213,11.50,9.72,0,0.00,16
326407994,SEM Agency Terms - General,23265673994,Generic PM - Agency,20160207,20160213,11.50,11.40,0,0.00,22
326407994,SEM Agency Terms - General,23265673994,Generic PM - Agency,20160207,20160213,11.50,11.50,0,0.00,31
326407994,SEM Agency Terms - General,23265673994,Generic PM - Agency,20160207,20160213,11.50,9.72,0,0.00,16
326407994,SEM Agency Terms - General,23265673994,Generic PM - Agency,20160207,20160213,11.50,11.40,0,0.00,22
326407994,SEM Agency Terms - General,23265673994,Generic PM - Agency,20160207,20160213,11.50,11.50,0,0.00,31
326407994,SEM Agency Terms - General,23284728074,Generic MBM - Agency,20160207,20160213,11.50,6.25,1,3.26,67
326407994,SEM Agency Terms - General,23284728074,Generic MBM - Agency,20160207,20160213,11.50,8.77,1,3.58,80
326407994,SEM Agency Terms - General,23284728074,Generic MBM - Agency,20160207,20160213,11.50,10.50,1,10.90,92
326407994,SEM Agency Terms - General,23284728074,Generic MBM - Agency,20160207,20160213,11.50,11.40,4,40.30,100
326407994,SEM Agency Terms - General,23284728074,Generic MBM - Agency,20160207,20160213,11.50,11.50,4,43.30,133
326407994,SEM Agency Terms - General,23284728074,Generic MBM - Agency,20160207,20160213,11.50,20.60,4,60.40,138
342790274,SEM Ecommerce Agency,25062313154,EM - eCommerce Digital Agency,20160203,20160209,13.00,0.97,0,0.00,14
342790274,SEM Ecommerce Agency,25062313154,EM - eCommerce Digital Agency,20160203,20160209,13.00,2.97,0,0.00,21
342790274,SEM Ecommerce Agency,25062313154,EM - eCommerce Digital Agency,20160203,20160209,13.00,13.00,0,0.00,27
