Campaign ID,Campaign Name,Adgroup ID,Adgroup Name,Criterion ID,Criterion Name,Start Date,End Date,Current Bid,Bid,Clicks,Costs,Impressions
315571211,GSN - Ministicks - General,24111415931,GSN General - Ministicks,105787194491,ministicks,20160206,20160212,0.69,0.01,0,0.00,16
315571211,GSN - Ministicks - General,24111415931,GSN General - Ministicks,105787194491,ministicks,20160206,20160212,0.69,0.69,13,3.51,1240
315571211,GSN - Ministicks - General,24111415931,GSN General - Ministicks,105787194491,ministicks,20160206,20160212,0.69,0.87,53,17.80,3170
315571211,GSN - Ministicks - General,24111415931,GSN General - Ministicks,105787194491,ministicks,20160206,20160212,0.69,1.07,88,39.80,5050
315571211,GSN - Ministicks - General,24111415931,GSN General - Ministicks,105787194491,ministicks,20160206,20160212,0.69,1.27,118,63.20,7180
315571211,GSN - Ministicks - General,24111415931,GSN General - Ministicks,105787194491,ministicks,20160206,20160212,0.69,1.50,138,87.60,8610
315571211,GSN - Ministicks - General,24111415931,GSN General - Ministicks,105787194491,ministicks,20160206,20160212,0.69,1.79,163,122.00,10200
315571211,GSN - Ministicks - General,24111415931,GSN General - Ministicks,105787194491,ministicks,20160206,20160212,0.69,2.14,184,162.00,11600
315571211,GSN - Ministicks - General,24111415931,GSN General - Ministicks,105787194491,ministicks,20160206,20160212,0.69,2.56,201,205.00,12500
315571211,GSN - Ministicks - General,24111415931,GSN General - Ministicks,105787194491,ministicks,20160206,20160212,0.69,3.01,214,245.00,13100
315568571,GSN - Accessories - General,24111412571,GSN General - Accessories,18283950120,accessories,20160206,20160212,0.53,0.01,0,0.00,24
315568571,GSN - Accessories - General,24111412571,GSN General - Accessories,18283950120,accessories,20160206,20160212,0.53,0.53,2,0.20,265
315568571,GSN - Accessories - General,24111412571,GSN General - Accessories,18283950120,accessories,20160206,20160212,0.53,0.76,5,1.13,568
315568571,GSN - Accessories - General,24111412571,GSN General - Accessories,18283950120,accessories,20160206,20160212,0.53,1.01,14,3.15,871
315568571,GSN - Accessories - General,24111412571,GSN General - Accessories,18283950120,accessories,20160206,20160212,0.53,1.23,22,6.39,1190
315568571,GSN - Accessories - General,24111412571,GSN General - Accessories,18283950120,accessories,20160206,20160212,0.53,1.49,28,10.20,1500
315568571,GSN - Accessories - General,24111412571,GSN General - Accessories,18283950120,accessories,20160206,20160212,0.53,1.81,31,14.80,1760
315568571,GSN - Accessories - General,24111412571,GSN General - Accessories,18283950120,accessories,20160206,20160212,0.53,2.18,35,20.20,1970
315568571,GSN - Accessories - General,24111412571,GSN General - Accessories,18283950120,accessories,20160206,20160212,0.53,2.57,38,25.80,2170
315568571,GSN - Accessories - General,24111412571,GSN General - Accessories,18283950120,accessories,20160206,20160212,0.53,3.00,40,31.80,2290
315570251,GSN - Heads - General,24111414491,GSN General - Heads,18283950120,heads,20160206,20160212,1.21,0.01,0,0.00,18
315570251,GSN - Heads - General,24111414491,GSN General - Heads,18283950120,heads,20160206,20160212,1.21,0.35,8,1.07,576
315570251,GSN - Heads - General,24111414491,GSN General - Heads,18283950120,heads,20160206,20160212,1.21,0.81,16,5.14,1000
315570251,GSN - Heads - General,24111414491,GSN General - Heads,18283950120,heads,20160206,20160212,1.21,1.21,23,11.60,1520
315570251,GSN - Heads - General,24111414491,GSN General - Heads,18283950120,heads,20160206,20160212,1.21,1.50,28,18.80,2000
315570251,GSN - Heads - General,24111414491,GSN General - Heads,18283950120,heads,20160206,20160212,1.21,1.74,34,28.00,2470
315570251,GSN - Heads - General,24111414491,GSN General - Heads,18283950120,heads,20160206,20160212,1.21,2.02,40,38.80,2930
315570251,GSN - Heads - General,24111414491,GSN General - Heads,18283950120,heads,20160206,20160212,1.21,2.32,45,51.20,3370
