Campaign ID,Campaign Name,Adgroup ID,Adgroup Name,Criterion ID,Criterion Name,Start Date,End Date,Current Bid,Bid,Clicks,Costs,Impressions
262758404,GSN - Bras - General,19865197844,GSN General - Bras,18283950120,bras,20160206,20160212,0.42,0.01,8,0.08,217
262758404,GSN - Bras - General,19865197844,GSN General - Bras,18283950120,bras,20160206,20160212,0.42,0.40,32,3.66,2490
262758404,GSN - Bras - General,19865197844,GSN General - Bras,18283950120,bras,20160206,20160212,0.42,0.77,87,24.90,5260
262758404,GSN - Bras - General,19865197844,GSN General - Bras,18283950120,bras,20160206,20160212,0.42,1.06,161,69.10,8470
262758404,GSN - Bras - General,19865197844,GSN General - Bras,18283950120,bras,20160206,20160212,0.42,1.35,240,136.00,11900
262758404,GSN - Bras - General,19865197844,GSN General - Bras,18283950120,bras,20160206,20160212,0.42,1.61,339,238.00,15300
262758404,GSN - Bras - General,19865197844,GSN General - Bras,18283950120,bras,20160206,20160212,0.42,1.91,455,374.00,18700
262758404,GSN - Bras - General,19865197844,GSN General - Bras,18283950120,bras,20160206,20160212,0.42,2.23,565,522.00,21800
262758404,GSN - Bras - General,19865197844,GSN General - Bras,18283950120,bras,20160206,20160212,0.42,2.60,660,683.00,24400
262758404,GSN - Bras - General,19865197844,GSN General - Bras,18283950120,bras,20160206,20160212,0.42,3.02,731,826.00,26200
262759844,GSN - Boyshorts - General,19865200244,GSN General - Boyshorts,97830380924,boyshorts,20160206,20160212,0.30,0.86,0,0.00,1
262759844,GSN - Boyshorts - General,19865200244,GSN General - Boyshorts,97830380924,boyshorts,20160206,20160212,0.30,1.01,0,0.00,2
262759844,GSN - Boyshorts - General,19865200244,GSN General - Boyshorts,97830380924,boyshorts,20160206,20160212,0.30,1.28,0,0.00,4
262759844,GSN - Boyshorts - General,19865200244,GSN General - Boyshorts,97830380924,boyshorts,20160206,20160212,0.30,1.58,0,0.00,6
262759844,GSN - Boyshorts - General,19865200244,GSN General - Boyshorts,97830380924,boyshorts,20160206,20160212,0.30,1.67,0,0.00,8
262759844,GSN - Boyshorts - General,19865200244,GSN General - Boyshorts,97830380924,boyshorts,20160206,20160212,0.30,1.90,0,0.00,10
262759844,GSN - Boyshorts - General,19865200244,GSN General - Boyshorts,97830380924,boyshorts,20160206,20160212,0.30,2.01,0,0.00,11
262759844,GSN - Boyshorts - General,19865200244,GSN General - Boyshorts,97830380924,boyshorts,20160206,20160212,0.30,2.40,0,0.00,11
262759844,GSN - Boyshorts - General,19865200244,GSN General - Boyshorts,97830380924,boyshorts,20160206,20160212,0.30,2.52,0,0.00,13
221851124,GSN Sleepwear - General,17303155364,General - Sleepwear,18283950120,,20160206,20160212,0.28,0.01,0,0.00,28
221851124,GSN Sleepwear - General,17303155364,General - Sleepwear,18283950120,,20160206,20160212,0.28,0.27,0,0.00,76
221851124,GSN Sleepwear - General,17303155364,General - Sleepwear,18283950120,,20160206,20160212,0.28,0.58,0,0.00,134
221851124,GSN Sleepwear - General,17303155364,General - Sleepwear,18283950120,,20160206,20160212,0.28,0.81,1,1.34,200
221851124,GSN Sleepwear - General,17303155364,General - Sleepwear,18283950120,,20160206,20160212,0.28,1.05,1,2.84,268
221851124,GSN Sleepwear - General,17303155364,General - Sleepwear,18283950120,,20160206,20160212,0.28,1.35,2,4.45,330
221851124,GSN Sleepwear - General,17303155364,General - Sleepwear,18283950120,,20160206,20160212,0.28,1.67,2,5.94,386
