Campaign ID,Campaign Name,Adgroup ID,Adgroup Name,Start Date,End Date,Current Bid,Bid,Clicks,Costs,Impressions
362010439,SEM Cowboy Hats - Brands,24172088239,Brands - American Cowboy Hats,20160207,20160213,0.39,0.26,7,0.93,532
362010439,SEM Cowboy Hats - Brands,24172088239,Brands - American Cowboy Hats,20160207,20160213,0.39,0.34,8,1.43,796
362010439,SEM Cowboy Hats - Brands,24172088239,Brands - American Cowboy Hats,20160207,20160213,0.39,0.39,9,2.54,1040
362010439,SEM Cowboy Hats - Brands,24172088239,Brands - American Cowboy Hats,20160207,20160213,0.39,0.46,9,2.72,1240
362010439,SEM Cowboy Hats - Brands,24172088239,Brands - American Cowboy Hats,20160207,20160213,0.39,0.59,9,3.01,1440
362010439,SEM Cowboy Hats - Brands,24172088239,Brands - American Cowboy Hats,20160207,20160213,0.39,0.91,9,3.47,1620
362010439,SEM Cowboy Hats - Brands,24172088239,Brands - American Cowboy Hats,20160207,20160213,0.39,1.92,9,3.90,1730
360620479,SEM Ropes - General,23358678439,General - Cattle Ropes,20160207,20160213,0.60,0.35,3,0.77,249
360620479,SEM Ropes - General,23358678439,General - Cattle Ropes,20160207,20160213,0.60,0.49,5,1.37,369
360620479,SEM Ropes - General,23358678439,General - Cattle Ropes,20160207,20160213,0.60,0.60,5,1.62,480
360620479,SEM Ropes - General,23358678439,General - Cattle Ropes,20160207,20160213,0.60,1.09,6,2.11,629
360620479,SEM Ropes - General,23358678439,General - Cattle Ropes,20160207,20160213,0.60,1.66,6,3.25,741
360620479,SEM Ropes - General,23358678439,General - Cattle Ropes,20160207,20160213,0.60,2.43,6,3.52,807
360620479,SEM Ropes - General,23358678439,General - Cattle Ropes,20160207,20160213,0.60,4.03,9,8.20,845
360620479,SEM Ropes - General,23358678799,General - Kid Ropes,20160207,20160213,0.63,0.19,0,0.00,46
360620479,SEM Ropes - General,23358678799,General - Kid Ropes,20160207,20160213,0.63,0.36,0,0.00,62
