Campaign ID,Campaign Name,Adgroup ID,Adgroup Name,Start Date,End Date,Current Bid,Bid,Clicks,Costs,Impressions
174116598,SEM Wakeboard Bindings - General,13409100678,General - Kids Bindings,20160207,20160213,0.48,0.20,0,0.00,20
174116598,SEM Wakeboard Bindings - General,13409100678,General - Kids Bindings,20160207,20160213,0.48,0.31,0,0.00,30
174116598,SEM Wakeboard Bindings - General,13409100678,General - Kids Bindings,20160207,20160213,0.48,0.48,0,0.00,40
174116598,SEM Wakeboard Bindings - General,13409100678,General - Kids Bindings,20160207,20160213,0.48,1.11,0,0.00,49
174116598,SEM Wakeboard Bindings - General,13409100678,General - Kids Bindings,20160207,20160213,0.48,3.29,0,0.00,57
174116598,SEM Wakeboard Bindings - General,13409100678,General - Kids Bindings,20160207,20160213,0.48,3.83,0,0.00,65
174111678,SEM Branded,13409076318,Branded,20160207,20160213,2.00,1.71,95,34.80,926
174111678,SEM Branded,13409076318,Branded,20160207,20160213,2.00,1.86,104,51.10,1070
174111678,SEM Branded,13409076318,Branded,20160207,20160213,2.00,2.00,112,69.00,1290
174111678,SEM Branded,13409076318,Branded,20160207,20160213,2.00,3.90,118,88.70,1980
174111678,SEM Branded,13409076318,Branded,20160207,20160213,2.00,4.02,123,112.00,2010
174111678,SEM Branded,13409076318,Branded,20160207,20160213,2.00,7.37,127,146.00,2650
174111678,SEM Branded,13409076318,Branded,20160207,20160213,2.00,7.83,132,196.00,2720
174111798,SEM NB - General,13409077398,General - Wakeboard Equipment,20160207,20160213,0.66,0.39,0,0.00,13
174111798,SEM NB - General,13409077398,General - Wakeboard Equipment,20160207,20160213,0.66,0.43,0,0.00,19
174111798,SEM NB - General,13409077398,General - Wakeboard Equipment,20160207,20160213,0.66,0.66,0,0.00,25
174111798,SEM NB - General,13409077398,General - Wakeboard Equipment,20160207,20160213,0.66,1.87,0,0.00,33
4752760,SEM Vests - General,13977405558,General - Kids Wakeboard Vests,20160205,20160210,0.88,0.28,0,0.00,13
4752760,SEM Vests - General,13977405558,General - Kids Wakeboard Vests,20160205,20160210,0.88,0.85,0,0.00,19
4752760,SEM Vests - General,13977405558,General - Kids Wakeboard Vests,20160205,20160210,0.88,0.88,0,0.00,25
4752550,SEM Wakesurf Boards - General,201155350,General - Wakesurf Boards,20160207,20160213,0.57,0.51,22,6.69,2100
4752550,SEM Wakesurf Boards - General,201155350,General - Wakesurf Boards,20160207,20160213,0.57,0.57,31,12.40,2350
4752550,SEM Wakesurf Boards - General,201155350,General - Wakesurf Boards,20160207,20160213,0.57,1.28,50,34.50,3470
4752550,SEM Wakesurf Boards - General,13412043918,General - Wakesurf Boards Sale,20160207,20160213,1.00,0.36,0,0.00,34
4752550,SEM Wakesurf Boards - General,13412043918,General - Wakesurf Boards Sale,20160207,20160213,1.00,0.47,0,0.00,39
4752550,SEM Wakesurf Boards - General,13412043918,General - Wakesurf Boards Sale,20160207,20160213,1.00,0.56,0,0.00,44
4752550,SEM Wakesurf Boards - General,13412043918,General - Wakesurf Boards Sale,20160207,20160213,1.00,0.75,0,0.00,55
4752550,SEM Wakesurf Boards - General,13412043918,General - Wakesurf Boards Sale,20160207,20160213,1.00,0.93,0,0.00,60
4752550,SEM Wakesurf Boards - General,13412043918,General - Wakesurf Boards Sale,20160207,20160213,1.00,1.00,0,0.00,67
174782118,SEM Waterskis - General,13441132878,General - Waterskis,20160207,20160213,0.45,0.29,13,2.79,1890
174782118,SEM Waterskis - General,13441132878,General - Waterskis,20160207,20160213,0.45,0.36,15,3.50,2800
174782118,SEM Waterskis - General,13441132878,General - Waterskis,20160207,20160213,0.45,0.45,16,5.17,3680
174782118,SEM Waterskis - General,13441132878,General - Waterskis,20160207,20160213,0.45,0.64,17,6.61,4890
174782118,SEM Waterskis - General,13441132878,General - Waterskis,20160207,20160213,0.45,0.98,24,10.90,6030
174782118,SEM Waterskis - General,13441132878,General - Waterskis,20160207,20160213,0.45,1.78,38,33.40,6990
174782118,SEM Waterskis - General,13441132878,General - Waterskis,20160207,20160213,0.45,3.95,45,48.10,7500
174111678,SEM Branded,13409076438,Coupon,20160203,20160209,0.50,0.44,0,0.00,5
174111678,SEM Branded,13409076438,Coupon,20160203,20160209,0.50,0.50,0,0.00,10
174111678,SEM Branded,13409076438,Coupon,20160203,20160209,0.50,1.37,0,0.00,17
174111798,SEM NB - General,13409077518,General - Wakeboard Gear,20160207,20160213,0.66,0.34,4,1.29,35
174111798,SEM NB - General,13409077518,General - Wakeboard Gear,20160207,20160213,0.66,0.44,5,1.82,49
174111798,SEM NB - General,13409077518,General - Wakeboard Gear,20160207,20160213,0.66,0.53,6,2.82,60
174111798,SEM NB - General,13409077518,General - Wakeboard Gear,20160207,20160213,0.66,0.66,8,4.25,69
174111798,SEM NB - General,13409077518,General - Wakeboard Gear,20160207,20160213,0.66,0.93,8,4.72,78
174111798,SEM NB - General,13409077518,General - Wakeboard Gear,20160207,20160213,0.66,1.43,8,4.72,85
174111798,SEM NB - General,13409077518,General - Wakeboard Gear,20160207,20160213,0.66,2.96,8,4.72,96
4752760,SEM Vests - General,13977405678,General - Men's Wakeboard Vests,20160207,20160213,0.88,0.57,0,0.00,451
4752760,SEM Vests - General,13977405678,General - Men's Wakeboard Vests,20160207,20160213,0.88,0.65,0,0.00,595
4752760,SEM Vests - General,13977405678,General - Men's Wakeboard Vests,20160207,20160213,0.88,0.75,0,0.00,737
4752760,SEM Vests - General,13977405678,General - Men's Wakeboard Vests,20160207,20160213,0.88,0.88,0,0.00,883
4752760,SEM Vests - General,13977405678,General - Men's Wakeboard Vests,20160207,20160213,0.88,1.18,0,0.00,989
174782118,SEM Waterskis - General,13441133358,General - Waterskis Sale,20160207,20160213,0.45,0.27,0,0.00,19
174782118,SEM Waterskis - General,13441133358,General - Waterskis Sale,20160207,20160213,0.45,0.38,0,0.00,28
174782118,SEM Waterskis - General,13441133358,General - Waterskis Sale,20160207,20160213,0.45,0.45,0,0.00,36
174782118,SEM Waterskis - General,13441133358,General - Waterskis Sale,20160207,20160213,0.45,0.75,0,0.00,41
174782118,SEM Waterskis - General,13441133358,General - Waterskis Sale,20160207,20160213,0.45,1.56,0,0.00,48
4772560,SEM Ropes & Handles - General,13452732198,General - Wakeboard Handles,20160207,20160213,1.01,0.30,0,0.00,166
