Campaign ID,Campaign Name,Adgroup ID,Adgroup Name,Start Date,End Date,Current Bid,Bid,Clicks,Costs,Impressions
51359315,SEM Branded,2113272035,Brand - Goo Good Dstuff Stuff E Uff St,20160205,20160211,1.00,0.14,18,0.94,34
51359315,SEM Branded,2113272035,Brand - Goo Good Dstuff Stuff E Uff St,20160205,20160211,1.00,0.27,22,2.12,42
51359315,SEM Branded,2113272035,Brand - Goo Good Dstuff Stuff E Uff St,20160205,20160211,1.00,0.39,25,3.23,50
51359315,SEM Branded,2113272035,Brand - Goo Good Dstuff Stuff E Uff St,20160205,20160211,1.00,0.91,25,3.23,60
51359315,SEM Branded,2113272035,Brand - Goo Good Dstuff Stuff E Uff St,20160205,20160211,1.00,1.00,25,3.23,67
51359315,SEM Branded,2113272035,Brand - Goo Good Dstuff Stuff E Uff St,20160205,20160211,1.00,1.34,25,3.23,74
51359315,SEM Branded,16976205755,Brand Stuff #2,20160207,20160213,1.50,1.37,28,25.10,450
51359315,SEM Branded,16976205755,Brand Stuff #2,20160207,20160213,1.50,1.44,34,34.70,513
51359315,SEM Branded,16976205755,Brand Stuff #2,20160207,20160213,1.50,1.49,39,41.60,604
51359315,SEM Branded,16976205755,Brand Stuff #2,20160207,20160213,1.50,1.50,43,48.60,659
51359315,SEM Branded,16976205755,Brand Stuff #2,20160207,20160213,1.50,1.68,49,57.90,722
235691675,SEM 100th Day - Categories,19514606915,Category - 100th Day Stickers,20160207,20160213,0.75,0.22,4,0.76,247
235691675,SEM 100th Day - Categories,19514606915,Category - 100th Day Stickers,20160207,20160213,0.75,0.28,4,0.86,321
235691675,SEM 100th Day - Categories,19514606915,Category - 100th Day Stickers,20160207,20160213,0.75,0.43,5,1.39,404
235691675,SEM 100th Day - Categories,19514606915,Category - 100th Day Stickers,20160207,20160213,0.75,0.75,6,2.61,481
235691675,SEM 100th Day - Categories,19514606915,Category - 100th Day Stickers,20160207,20160213,0.75,1.19,6,3.30,523
235691675,SEM 100th Day - Categories,19514606915,Category - 100th Day Stickers,20160207,20160213,0.75,2.10,6,3.30,563
235691675,SEM 100th Day - Categories,19514606915,Category - 100th Day Stickers,20160207,20160213,0.75,4.85,7,10.00,589
235684715,SEM 100th Day - General,19514607275,General - 100th Day Celebrations,20160207,20160213,0.86,0.57,4,1.34,332
