Campaign ID,Campaign Name,Adgroup ID,Adgroup Name,Criterion ID,Criterion Name,Start Date,End Date,Current Bid,Bid,Clicks,Costs,Impressions
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063153396,kids gt playsets,20160206,20160212,0.20,0.01,0,0.00,1
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063153396,kids gt playsets,20160206,20160212,0.20,0.20,1,0.04,22
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063153396,kids gt playsets,20160206,20160212,0.20,0.48,4,0.23,36
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063153396,kids gt playsets,20160206,20160212,0.20,0.84,4,0.31,48
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063153396,kids gt playsets,20160206,20160212,0.20,1.12,5,0.61,58
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063153396,kids gt playsets,20160206,20160212,0.20,1.45,6,1.48,69
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063153396,kids gt playsets,20160206,20160212,0.20,1.61,6,1.67,85
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063153396,kids gt playsets,20160206,20160212,0.20,1.86,7,1.80,98
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063153396,kids gt playsets,20160206,20160212,0.20,2.37,7,2.38,100
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063153396,kids gt playsets,20160206,20160212,0.20,2.79,8,2.81,103
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063155316,kids gt playsets,20160206,20160212,0.20,0.01,0,0.00,15
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063155316,kids gt playsets,20160206,20160212,0.20,0.11,1,0.02,79
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063155316,kids gt playsets,20160206,20160212,0.20,0.20,1,0.10,132
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063155316,kids gt playsets,20160206,20160212,0.20,0.36,2,0.27,187
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063155316,kids gt playsets,20160206,20160212,0.20,0.58,2,0.60,232
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063155316,kids gt playsets,20160206,20160212,0.20,0.90,3,0.95,258
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063155316,kids gt playsets,20160206,20160212,0.20,1.29,3,1.56,279
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063155316,kids gt playsets,20160206,20160212,0.20,1.67,4,2.15,303
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063155316,kids gt playsets,20160206,20160212,0.20,2.08,4,2.99,312
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063155316,kids gt playsets,20160206,20160212,0.20,2.53,4,3.39,317
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063156276,kids gt playsets,20160206,20160212,0.20,0.01,0,0.00,3
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063156276,kids gt playsets,20160206,20160212,0.20,0.20,2,0.35,121
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063156276,kids gt playsets,20160206,20160212,0.20,0.30,3,0.84,214
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063156276,kids gt playsets,20160206,20160212,0.20,0.41,4,1.19,283
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063156276,kids gt playsets,20160206,20160212,0.20,0.71,5,2.47,342
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063156276,kids gt playsets,20160206,20160212,0.20,1.08,6,3.93,389
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063156276,kids gt playsets,20160206,20160212,0.20,1.51,6,6.41,420
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063156276,kids gt playsets,20160206,20160212,0.20,1.97,7,8.80,443
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063156276,kids gt playsets,20160206,20160212,0.20,2.49,8,10.60,452
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063156276,kids gt playsets,20160206,20160212,0.20,3.00,8,11.20,461
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063158196,kids gt playsets,20160206,20160212,0.20,0.01,0,0.00,4
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063158196,kids gt playsets,20160206,20160212,0.20,0.25,1,0.27,105
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063158196,kids gt playsets,20160206,20160212,0.20,0.33,1,0.48,168
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063158196,kids gt playsets,20160206,20160212,0.20,0.40,2,0.76,224
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063158196,kids gt playsets,20160206,20160212,0.20,0.52,2,1.11,282
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063158196,kids gt playsets,20160206,20160212,0.20,0.73,3,1.80,320
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063158196,kids gt playsets,20160206,20160212,0.20,1.00,3,2.26,343
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063158196,kids gt playsets,20160206,20160212,0.20,1.29,3,3.00,356
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063158196,kids gt playsets,20160206,20160212,0.20,1.60,4,3.55,363
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063158196,kids gt playsets,20160206,20160212,0.20,1.91,4,3.93,369
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063159156,kids gt playsets,20160206,20160212,0.20,0.01,0,0.00,4
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063159156,kids gt playsets,20160206,20160212,0.20,0.20,1,0.17,43
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063159156,kids gt playsets,20160206,20160212,0.20,0.32,1,0.37,72
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063159156,kids gt playsets,20160206,20160212,0.20,0.49,3,1.08,93
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063159156,kids gt playsets,20160206,20160212,0.20,0.74,4,2.17,111
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063159156,kids gt playsets,20160206,20160212,0.20,1.03,4,2.72,127
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063159156,kids gt playsets,20160206,20160212,0.20,1.35,5,3.18,138
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063159156,kids gt playsets,20160206,20160212,0.20,1.82,5,3.59,143
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063159156,kids gt playsets,20160206,20160212,0.20,2.37,5,3.69,144
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063159156,kids gt playsets,20160206,20160212,0.20,2.73,5,4.14,149
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063160116,kids gt playsets,20160206,20160212,0.20,0.01,2,0.01,9
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063160116,kids gt playsets,20160206,20160212,0.20,0.20,2,0.09,53
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063160116,kids gt playsets,20160206,20160212,0.20,0.27,2,0.22,80
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063160116,kids gt playsets,20160206,20160212,0.20,0.37,2,0.43,101
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063160116,kids gt playsets,20160206,20160212,0.20,0.56,3,0.73,118
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063160116,kids gt playsets,20160206,20160212,0.20,0.78,3,0.96,133
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063160116,kids gt playsets,20160206,20160212,0.20,1.09,3,1.11,137
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063160116,kids gt playsets,20160206,20160212,0.20,1.40,3,1.33,145
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063160116,kids gt playsets,20160206,20160212,0.20,1.79,3,1.68,150
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063160116,kids gt playsets,20160206,20160212,0.20,2.04,3,1.83,152
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063154116,kids gt playsets,20160206,20160212,0.20,0.01,0,0.00,3
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063154116,kids gt playsets,20160206,20160212,0.20,0.20,0,0.00,44
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063154116,kids gt playsets,20160206,20160212,0.20,0.30,0,0.00,86
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063154116,kids gt playsets,20160206,20160212,0.20,0.47,0,0.00,119
174263156,Shopping: SEM PLA,8991844196,Google Shopping Feed,77063154116,kids gt playsets,20160206,20160212,0.20,0.78,1,0.63,148
