Campaign ID,Campaign Name,Adgroup ID,Adgroup Name,Criterion ID,Criterion Name,Start Date,End Date,Current Bid,Bid,Clicks,Costs,Impressions
272412515,GSN - Caddies - General,21228880235,GSN General - Caddies,118208011715,caddies,20160206,20160212,0.88,0.01,0,0.00,8
272412515,GSN - Caddies - General,21228880235,GSN General - Caddies,118208011715,caddies,20160206,20160212,0.88,0.38,1,0.24,65
272412515,GSN - Caddies - General,21228880235,GSN General - Caddies,118208011715,caddies,20160206,20160212,0.88,0.62,3,1.13,135
272412515,GSN - Caddies - General,21228880235,GSN General - Caddies,118208011715,caddies,20160206,20160212,0.88,0.88,4,2.51,198
272412515,GSN - Caddies - General,21228880235,GSN General - Caddies,118208011715,caddies,20160206,20160212,0.88,1.10,5,4.43,252
272412515,GSN - Caddies - General,21228880235,GSN General - Caddies,118208011715,caddies,20160206,20160212,0.88,1.39,7,6.35,293
272412515,GSN - Caddies - General,21228880235,GSN General - Caddies,118208011715,caddies,20160206,20160212,0.88,1.77,7,8.63,327
272412515,GSN - Caddies - General,21228880235,GSN General - Caddies,118208011715,caddies,20160206,20160212,0.88,2.16,8,10.20,356
272412515,GSN - Caddies - General,21228880235,GSN General - Caddies,118208011715,caddies,20160206,20160212,0.88,2.58,9,12.00,380
272412515,GSN - Caddies - General,21228880235,GSN General - Caddies,118208011715,caddies,20160206,20160212,0.88,3.01,9,13.30,399
272413955,GSN - Dry Erase - General,21228882395,GSN General - Dry Erase,97730112035,dry erase,20160206,20160212,0.49,0.01,1,0.01,16
272413955,GSN - Dry Erase - General,21228882395,GSN General - Dry Erase,97730112035,dry erase,20160206,20160212,0.49,0.49,13,4.35,336
272413955,GSN - Dry Erase - General,21228882395,GSN General - Dry Erase,97730112035,dry erase,20160206,20160212,0.49,0.76,25,13.40,693
272413955,GSN - Dry Erase - General,21228882395,GSN General - Dry Erase,97730112035,dry erase,20160206,20160212,0.49,0.95,36,24.30,1070
272413955,GSN - Dry Erase - General,21228882395,GSN General - Dry Erase,97730112035,dry erase,20160206,20160212,0.49,1.18,46,36.90,1450
272413955,GSN - Dry Erase - General,21228882395,GSN General - Dry Erase,97730112035,dry erase,20160206,20160212,0.49,1.45,56,54.00,1790
272413955,GSN - Dry Erase - General,21228882395,GSN General - Dry Erase,97730112035,dry erase,20160206,20160212,0.49,1.74,65,72.50,2120
272413955,GSN - Dry Erase - General,21228882395,GSN General - Dry Erase,97730112035,dry erase,20160206,20160212,0.49,2.13,72,92.50,2340
