Campaign ID,Campaign Name,Adgroup ID,Adgroup Name,Start Date,End Date,Current Bid,Bid,Clicks,Costs,Impressions
218487410,Official,13412817770,Official,20160207,20160213,0.50,0.26,174,18.60,447
218487410,Official,13412817770,Official,20160207,20160213,0.50,0.30,181,21.30,463
218487410,Official,13412817770,Official,20160207,20160213,0.50,0.32,188,24.50,476
218487410,Official,13412817770,Official,20160207,20160213,0.50,0.34,196,27.60,489
218487410,Official,13412817770,Official,20160207,20160213,0.50,0.37,202,30.10,506
218487410,Official,13412817770,Official,20160207,20160213,0.50,0.40,211,35.70,531
